geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,brewery,check_date:opening_hours,indoor_seating,name,opening_hours:signed,outdoor_seating,phone,smoking,toilets:wheelchair,website,wheelchair,email,min_age,name:ja,opening_hours,check_date,operator,addr:suburb,level,contact:phone,contact:website,description,start_date,internet_access,payment:cards,payment:credit_cards,payment:debit_cards,air_conditioning,entrance,contact:facebook,lgbtq,wheelchair:description,source,contact:email,live_music,wikidata,wikipedia,sport,note,karaoke,payment:cash,mapillary,payment:mastercard,payment:visa,winery,contact:fax,contact:twitter,historic,wikimedia_commons,building,facebook,instagram,toilets,fax,url,drink:beer,drink:cider,drink:guinness,internet_access:ssid,payment:others,old_name,disused:amenity,disused:name,cuisine,payment:coins,payment:notes,payment:shells,payment:girocard,service:phone,shop,drink:club-mate,phone:mobile,alt_name,contact:foursquare,contact:mobile,contact:myspace,contact:partyearth,contact:qype,contact:tripadvisor,contact:yelp,toilets:access,diet:vegetarian,contact:instagram,changing_table,toilets:disposal,toilets:handwashing,toilets:paper_supplied,toilets:position,cocktails,reservation,source:addr,name:ru,short_name,addr:floor,billiards,gambling,cruising,lgbtq:men,official_name,addr:housename,food,image,addr:place,internet_access:fee,payment:american_express,payment:contactless,payment:diners_club,payment:discover_card,payment:electronic_purses,payment:ep_geldkarte,payment:jcb,payment:maestro,payment:visa_debit,payment:visa_electron,darkroom,fetish:leather,fetish:rubber,lgbtq:cruising,nohousenumber,ref:vatin,identity,mode_of_organisation:self_managed,drink:wine,dog,wheelchair:description:de,wheelchair:description:en,billiards:pool,billiards:snooker,wheelchair:note,internet_access:operator,takeaway,payment:app,payment:cryptocurrencies,payment:qr_code,opening_hours:kitchen,contact:phone:description,diet:vegan,location,tourism,check_date:currency:XBT,currency:XBT,payment:lightning,payment:onchain,music,opening_hours:url,addr:city:fa,theme,wifi,opening,organic,payment:lightning_contactless,lgbtq:signed,lgbtq:women,fetish:jeans,fetish:skins,fetish:sneakers,fetish:uniform,male,lgbtq:gay,access,not:brand:wikidata,note:de,microbrewery,shisha,name:de,payment:account_cards,payment:alipay,payment:apple_pay,payment:bancomat,payment:blik,payment:cheque,payment:clipper,payment:dkv,payment:ep_easycard,payment:ep_ipass,payment:google_pay,payment:mastercard_contactless,payment:paypal,payment:prepaid_ticket,payment:telephone_cards,payment:unionpay,payment:uta,payment:v_pay,payment:wechat,opening_hours:covid19,operator:type,office,kitchen,name:en,contact:untappd,name:ar,fixme,survey:date,contact:telegram,age_group,website:menu,brand,contact:ra,post_office,post_office:brand,post_office:ref:deutsche_post,post_office:service_provider,post_office:website,building:levels,roof:levels,mobile,seamark:hulk:category,seamark:type,building:min_level,building:part,surveillance,roof:shape
POINT (13.4613169 52.5120463),,,,,,bar,,2023-12-11,yes,Keyif,no,yes,,yes,no,,no,,,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4566212 52.5102582),Berlin,DE,36,10245,Simon-Dach-Straße,bar,,2024-07-04,yes,Himmelreich,no,yes,,,yes,,yes,,,,,,,Friedrichshain,,+49 30 29369292,https://www.himmelreich-berlin.de,,,,,,,no,,https://www.facebook.com/Cafe-Bar-Himmelreich-227297577458273/,primary,"Behindertentoilette vorhanden, Räume barrierefrei erreichbar!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4591706 52.5158118),,,,,,bar,,2024-10-23,yes,Palabra Bar,,yes,,,,https://www.palabrabar.de,limited,,,,"Th 19:00-01:00+, Fr,Sa 19:00-03:00+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4553049 52.5182491),,,,,,bar,,2023-05-06,,Lauschangriff,no,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/Lauschangriff.Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4592514 52.5126429),Berlin,DE,104,10245,Boxhagener Straße,bar,,,yes,Anu Bar,,yes,,,,,,,18,,,,,Friedrichshain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2022687 52.5372124),Berlin,DE,14a,13597,Charlottenstraße,bar,,,,Charlotte,,,+49 30 3331000,,no,http://www.cbb-charlotte.de,limited,,,,,,,Spandau,,,,,,,,,,,,,,Keine Behindertentoilette,Geoportal Berlin / Hauskoordinaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.458706 52.5127422),Berlin,DE,105,10245,Boxhagener Straße,bar,,2024-09-08,,booze bar berlin,no,sidewalk,,separated,,,limited,,,,,,,Friedrichshain,,+49 30 29046910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3283712 52.5059347),Berlin,DE,12A,10623,Kantstraße,bar,,,,Quasimodo,,,,,,,no,,,,,,,Charlottenburg,,+49 30 31804560,http://www.quasimodo.de/,,,,,,,,,,,,,info@quasimodo.de,yes,Q2122439,de:Quasimodo (Musikclub),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4887104 52.547659),Berlin,DE,20,13053,Waldowstraße,bar,,,,Bar im Wasserturm,,,,,,,,,,,,,,Alt-Hohenschönhausen,,+49 178 5389745,http://www.berlin-wasserturm.de/,,,,,,,,,,,,,kontakt@berlin-wasserturm.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4018544 52.5252025),Berlin,DE,6,10178,Sophienstraße,bar,,2024-11-22,,Billardsalon Köh,,,,,no,,yes,,,,"Mo-Sa 17:00+, Su 16:00+",,,Mitte,,,http://www.billardkoeh.de,,,,,,,,,,,,,,,,,billiards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4164647 52.5493859),,,47,,Greifenhagener Straße,bar,,,,Deck 5,,,,,,http://www.freiluftrebellen.de/en/,no,,,,,2023-01-14,,,5,,,,,,,,,,,,,,,,,,,,sand on the roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.404733 52.534462),Berlin,DE,39,10119,Zionskirchstraße,bar,,,,macke prinz,,yes,,yes,,,yes,,,,Mo-Su 13:00-03:00,2024-06-08,,Mitte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4234314 52.5195057),Berlin,DE,36,10178,Karl-Marx-Allee,bar,,,,Salon Babette,,yes,,,,,,,,,"We,Th 18:00-24:00; Fr,Sa 18:00-01:00",,,Mitte,,,https://www.cafemoskau.com/salon-babette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4610994 52.5086027),Berlin,DE,43,10245,Wühlischstraße,bar,,2023-12-08,yes,Süß war gestern,no,no,,yes,,,limited,,,,,,,Friedrichshain,,,,,,,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.38609 52.5215879),Berlin,DE,6,10117,Schiffbauerdamm,bar,,,yes,Vincent Piano Bar,,yes,,,,http://vincent-bar.de/hauptseite/,no,,,,,,,Mitte,,+49 30 27582305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4595488 52.5142681),Berlin,DE,23,10247,Niederbarnimstraße,bar,,,yes,Sohnemann,,yes,,separated,,,no,,,,"Tu-Th 01:00-01:30, Fr,Sa 18:00-03:00, Mo 18:00-01:00",,Hausstein & Schultz GbR,Friedrichshain,,+49-163 5980195,https://sohnemann-bar.de/,,,,,,,,,,,,,tresen@sohnemann-bar.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5257159 52.4816878),Berlin,DE,111,10318,Treskowallee,bar,,,yes,Havanna Bar,,yes,+49 30 50378144,outside,no,https://www.havannabar-berlin.de/,no,info@havannabar-berlin.de,,,"Mo-Fr 15:00+, Sa,Su 12:00+",,Luan Lila,Karlshorst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4316156 52.5006932),Berlin,DE,12,10997,Lausitzer Platz,bar,,,,Plan,,yes,,,,,limited,,,,Mo-Su 13:00-23:00,,,Kreuzberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3562993 52.4979752),Berlin,DE,1,10783,Nollendorfstraße,bar,,,yes,Bar Voyage,,yes,+4930-33 98 42 27,yes,no,https://www.barvoyage.de/,yes,voyage.bar@gmail.com,,,Tu-Su 17:00-24:00+,,,Schöneberg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.448422 52.5051922),Berlin,DE,34,10243,Warschauer Straße,bar,,,,Monster Ronson's Ichiban Karaoke,,,,,,,limited,,,,"Mo-Su 19:00-04:00, Fr-Mo 19:00-06:00",,,Friedrichshain,,,http://www.karaokemonster.de/,,,,,,,,,,,"Eingang und Barbereich ok, Kabinen mit Schwelle,",,,,,,,,yes,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.43778 52.4935555),Berlin,DE,103,10999,Reichenberger Straße,bar,,,yes,Dietrich,,yes,,,,,,,,,,,,Kreuzberg,,,,,,,,,,,,,,,,,,,,,,,,181656713823441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4212243 52.4962839),,,,,,bar,,,yes,Frau Luna,,yes,,,,,,,,,Tu-Su 16:00-24:00+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4219013 52.5415754),Berlin,DE,17,10437,Raumerstraße,bar,,,,X-Bar,,yes,,yes,,,no,,,,Mo-Su 18:00+,2023-10-08,,Prenzlauer Berg,,,,,,no,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.417339 52.5437162),Berlin,DE,39,10437,Lychener Straße,bar,,,yes,Dirty Velvet Drinkery,,yes,,,,,no,,,,"Mo-Th 18:00-24:00, Fr,Sa 17:00+, Su 18:00-11:00",,,Prenzlauer Berg,,,http://www.dirtyvelvetberlin.com/,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3592734 52.48657),Berlin,DE,62,10827,Kolonnenstraße,bar,,,yes,Der Weinlobbyist,,yes,+493030640772,,,https://www.derweinlobbyist.de/,,kontakt@weinlobbyist.de,,,"Mo,Th,Su 17:00-23:00; Fr,Sa 17:00-00:00; Tu,We off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4086025 52.528762),Berlin,DE,60,10119,Torstraße,bar,,,,Kaffee Burger,,,,,yes,,limited,,,,,,,Mitte,,+49 30 28046495,http://www.kaffeeburger.de,"bekannt durch die alle 2 Wochen stattfindende, unter anderem von Wladimir Kaminer organisierte, Russendisko!",,,,,,,,https://de-de.facebook.com/Tanzwirtschaft,,,,tanzwirtschaft@kaffeeburger.de,yes,Q968246,de:Kaffee Burger,,,,,,,,,+49 30 28046808,KaffeeBurger,yes,File:Kaffee-burger.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
